,split,uri,labels
0,train,00/000/000/1885/front_fr.4.400.jpg,17
1,train,00/000/000/5005/front_fr.4.400.jpg,2;5;6;10
2,train,00/000/001/2249/front_fr.4.400.jpg,8
3,train,00/000/002/218/front_fr.3.400.jpg,4;12;14
4,train,00/000/015/710/front_fr.3.400.jpg,12;16
5,train,00/000/031/0/front_fr.3.400.jpg,21
6,train,00/000/193/8067/front_fr.4.400.jpg,1
7,train,00/000/501/3/front_fr.12.400.jpg,7;11
8,train,00/000/912/5124/front_fr.4.400.jpg,17
9,train,00/001/020/6515/front_fr.4.400.jpg,1;13
10,train,0000127/front_fr.3.400.jpg,12;16
11,train,00/002/301/9027/front_fr.4.400.jpg,1;26
12,train,00/002/753/3024/front_en.9.400.jpg,17
13,train,00/005/015/7846/front_fr.10.400.jpg,7;11
14,train,00/006/902/8045/front_fr.4.400.jpg,8;15
15,train,00/006/906/3855/front_fr.4.400.jpg,4
16,train,00/006/906/8812/front_fr.4.400.jpg,15;17;26
17,train,00/006/916/1414/front_fr.4.400.jpg,8
18,train,00/006/916/8062/front_fr.4.400.jpg,17
19,train,0000789/front_fr.3.400.jpg,4
20,train,00/010/916/5808/front_en.3.400.jpg,2;5;6;10
21,train,00/014/031/9598/front_fr.3.400.jpg,2;5;6;25
22,train,00/014/601/3124/front_fr.3.400.jpg,1
23,train,00/018/010/51082969226/front_fr.3.400.jpg,7;11
24,train,00/019/101/3124/front_fr.4.400.jpg,1
25,train,0002059/front_fr.3.400.jpg,2;5;6;10
26,train,00/026/044/0264/front_fr.4.400.jpg,7;12;22
27,train,0003469/front_it.3.400.jpg,4;14
28,train,00/040/501/7511/front_fr.4.400.jpg,2;5;6;10
29,train,0005012/front_fr.3.400.jpg,7;11
30,train,00051/front_fr.10.400.jpg,1;17;26
31,test,0005869/front_fr.3.400.jpg,19;23
32,train,00/060/600/9841/front_fr.3.400.jpg,1
33,train,00/067/008//front_fr.3.400.jpg,26
34,train,00/071/000/0000/front_fr.4.400.jpg,7;11;22
35,train,0007573/front_en.4.400.jpg,2;5;6;10
36,train,0008003/front_fr.3.400.jpg,12;16
37,train,0008433/front_en.3.400.jpg,7;22
38,train,0008761/front_en.3.400.jpg,7;22
39,train,00/092/280//front_fr.3.400.jpg,3;9
40,train,0011001/front_fr.3.400.jpg,7;22
41,train,00/112/767/7/front_fr.3.400.jpg,8
42,train,0011402/front_fr.3.400.jpg,4
43,train,0011686/front_fr.8.400.jpg,1;27
44,train,0011730/front_en.52.400.jpg,1;27
45,train,0012775/front_en.4.400.jpg,3;24
46,train,0013932/front_fr.14.400.jpg,8
47,train,0014472/front_en.9.400.jpg,3;9
48,train,0015691/front_fr.31.400.jpg,3;24
49,train,0016063/front_en.5.400.jpg,8;18
50,train,0019101/front_fr.9.400.jpg,1;27
51,train,00/200/000/0066/front_fr.3.400.jpg,8
52,train,00/200/000/1896/front_fr.8.400.jpg,3;9;28
53,train,00/200/000/2336/front_fr.4.400.jpg,2;5;6;25
54,train,00/200/000/3555/front_fr.4.400.jpg,0
55,train,00/200/000/4408/front_fr.3.400.jpg,19;23
56,train,00/200/000/5467/front_fr.4.400.jpg,3;24
57,train,00/200/000/8390/front_fr.4.400.jpg,19;23
58,train,00/200/004/386/front_fr.3.400.jpg,1;20
59,train,0020299/front_fr.3.400.jpg,4;14
60,train,00/206/038/03020006071/front_es.3.400.jpg,19;23
61,train,0022033/front_fr.5.400.jpg,12;16
62,train,0023092/front_fr.4.400.jpg,1;27
63,train,0024600/front_fr.19.400.jpg,4
64,train,0024846/front_fr.7.400.jpg,7;11
65,train,0026093/front_fr.4.400.jpg,0;2;5;6;25
66,train,0029452/front_fr.4.400.jpg,19;23
67,train,0030045/front_fr.11.400.jpg,0
68,train,0030908/front_en.13.400.jpg,1;27
69,train,0031394/front_fr.4.400.jpg,1;26
70,train,0032582/front_en.6.400.jpg,1;20
71,train,0034/front_en.6.400.jpg,3;9
72,train,0035460/front_fr.11.400.jpg,8;19
73,train,00/360/301/05719004735/front_es.3.400.jpg,19;23
74,train,00/400/000/1258/front_en.4.400.jpg,2
75,train,0042291/front_fr.3.400.jpg,4
76,train,004371/front_es.12.400.jpg,1;13
77,train,0044974/front_fr.3.400.jpg,4
78,train,0047524/front_fr.12.400.jpg,8
79,train,0050982/front_es.3.400.jpg,7;11
80,train,0054072/front_fr.11.400.jpg,1;13
81,train,00/600/002/458/front_fr.3.400.jpg,1
82,train,0062114/front_en.6.400.jpg,3;24
83,train,0062220/front_en.17.400.jpg,2;5;6;10
84,train,0062381/front_en.4.400.jpg,1;27
85,train,0072847/front_fr.4.400.jpg,3;9
86,train,0078115/front_fr.5.400.jpg,2;5;6;10
87,train,0079112/front_fr.20.400.jpg,3;9
88,test,00/800/598/5179/front_en.6.400.jpg,8
89,train,0080477/front_en.3.400.jpg,19;23
90,test,00/829/566/0107/front_en.6.400.jpg,7;11
91,train,00/829/566/3764/front_en.3.400.jpg,7;11
92,test,00/834/650/0123/front_en.5.400.jpg,0
93,train,00/834/687/4866/front_en.4.400.jpg,1;13;20
94,train,0084222/front_fr.4.400.jpg,8
95,train,00/856/388/8790/front_en.5.400.jpg,1;27
96,train,0086929/front_en.16.400.jpg,8;15
97,train,0088008/front_fr.3.400.jpg,8
98,train,0088824/front_en.23.400.jpg,1;13
99,train,0089241/front_fr.14.400.jpg,3;9;28
100,train,0090056/front_fr.11.400.jpg,8
101,train,00/930/012/8896/front_en.9.400.jpg,18
102,train,0093910/front_fr.14.400.jpg,8
103,train,00/954/200/5948/front_en.3.400.jpg,1;20
104,train,00/954/201/6159/front_en.6.400.jpg,1;13;20
105,train,00/954/201/8061/front_en.6.400.jpg,1;13;20
106,train,00/954/204/4800/front_en.4.400.jpg,1;13;20
107,train,00/954/242/5999/front_en.3.400.jpg,1;20
108,train,00/954/242/9485/front_en.8.400.jpg,1;13;20
109,train,00/980/000/1064/front_en.7.400.jpg,1;13
110,train,00/980/012/0949/front_en.18.400.jpg,1;3;13;20;24
111,train,00/980/012/6071/front_en.8.400.jpg,1;13;20
112,train,00/980/030/0020/front_en.13.400.jpg,1;13
113,train,00/980/080/0155/front_en.3.400.jpg,12;16
114,train,00/980/089/5007/front_en.12.400.jpg,12;16;21
115,train,0098939/front_en.9.400.jpg,7;11
116,train,0099998/front_fr.4.400.jpg,12
117,train,01/004/100/1904/front_fr.4.400.jpg,29
118,train,01/015/005/001/front_fr.3.400.jpg,12;16
119,train,0102469/front_fr.4.400.jpg,1
120,train,01/027/600/2370/front_en.3.400.jpg,19;23
121,train,01/030/094/2146/front_en.5.400.jpg,29
122,train,0103565/front_es.3.400.jpg,0
123,train,0104364/front_fr.14.400.jpg,4
124,test,0105095/front_fr.4.400.jpg,3;24
125,train,0106337/front_fr.4.400.jpg,7;11
126,train,01/070/051/8408/front_en.10.400.jpg,1;13
127,train,01/070/055/6967/front_en.11.400.jpg,1;13
128,train,01/070/070/2845/front_en.4.400.jpg,1;13
129,train,01/085/299/7489/front_en.7.400.jpg,2;5;6;25
130,train,01/111/000/2013/front_en.7.400.jpg,3;24
131,train,01/111/000/6295/front_en.3.400.jpg,26
132,train,01/111/000/8107/front_en.4.400.jpg,0
133,train,01/111/000/9210/front_en.3.400.jpg,3;24
134,train,01/111/001/9844/front_en.7.400.jpg,0
135,train,01/111/002/3971/front_en.3.400.jpg,7
136,train,01/111/002/9447/front_en.4.400.jpg,18
137,train,01/111/003/0726/front_en.14.400.jpg,3;9;16
138,train,01/111/003/1310/front_en.4.400.jpg,7;11
139,train,01/111/003/3567/front_en.13.400.jpg,7;11
140,test,01/111/003/7961/front_en.10.400.jpg,2;5;6;25
141,train,01/111/003/8838/front_en.3.400.jpg,0
142,train,01/111/004/3412/front_en.3.400.jpg,1
143,train,01/111/004/3924/front_en.3.400.jpg,21
144,train,01/111/004/5041/front_en.5.400.jpg,8;18
145,train,01/111/004/6741/front_en.3.400.jpg,4;14
146,train,01/111/008/0776/front_en.3.400.jpg,21
147,train,01/111/008/4989/front_en.3.400.jpg,7;11
148,train,01/111/008/6709/front_en.3.400.jpg,28
149,train,01/111/008/8499/front_en.6.400.jpg,1;27
150,train,01/111/008/9984/front_en.3.400.jpg,7
151,train,01/111/009/1758/front_en.3.400.jpg,2
152,train,01/111/009/3844/front_en.7.400.jpg,1;13
153,train,01/111/009/4780/front_en.3.400.jpg,2;5;6;10
154,train,01/111/009/5756/front_en.3.400.jpg,7
155,train,01/111/009/7712/front_en.3.400.jpg,0
156,train,01/111/010/0009/front_en.3.400.jpg,0
157,train,01/111/010/0603/front_en.3.400.jpg,0
158,train,01/111/022/1384/front_en.3.400.jpg,7;11
159,train,01/111/042/0206/front_en.3.400.jpg,2
160,train,01/111/044/2178/front_en.6.400.jpg,2;5;6;10
161,train,01/111/048/8374/front_en.6.400.jpg,0
162,test,01/111/049/1404/front_en.5.400.jpg,0
163,train,01/111/050/0748/front_en.6.400.jpg,2
164,train,01/111/050/1844/front_en.3.400.jpg,2;5;6;10
165,train,01/111/050/4739/front_en.3.400.jpg,2;5;6;25
166,train,01/111/050/6627/front_en.7.400.jpg,2;5;6;25
167,train,01/111/050/7198/front_en.7.400.jpg,15;17
168,train,01/111/050/7372/front_en.6.400.jpg,15;17
169,train,01/111/058/6018/front_en.3.400.jpg,2;5;6;10
170,train,01/111/060/7256/front_en.8.400.jpg,2;5;6;10
171,train,01/111/061/0508/front_en.3.400.jpg,7;22
172,train,01/111/066/9551/front_en.8.400.jpg,7;11;22
173,train,01/111/071/5036/front_en.6.400.jpg,7;22
174,train,01/111/072/5677/front_en.3.400.jpg,18;29
175,train,01/111/073/8226/front_en.3.400.jpg,7;22
176,train,01/111/079/9302/front_en.6.400.jpg,1
177,train,01/111/080/5805/front_en.7.400.jpg,7;11
178,train,01/111/081/0885/front_en.14.400.jpg,7;11;22
179,train,01/111/081/2391/front_en.7.400.jpg,7
180,train,01/111/081/6672/front_en.17.400.jpg,15;17
181,train,01/111/081/9383/front_en.8.400.jpg,29
182,train,01/111/082/1256/front_en.4.400.jpg,0
183,train,01/111/082/3540/front_en.6.400.jpg,7;11
184,train,01/111/082/7630/front_en.7.400.jpg,3
185,train,01/111/083/3075/front_en.4.400.jpg,18;19;23
